run_ts,participant,session,date,hand,notes,mode,num_targets,final_score
2025-10-29T05:16:55.537Z,P001,S1,2025-10-27,R,"",cursor,5,0.000
2025-10-29T05:17:13.933Z,P001,S1,2025-10-27,R,"",cursor,5,1.000
